Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1577.9
FDW14,OUT017,1006.6
NCN55,OUT010,1775.6
FDQ58,OUT017,1378.2
FDY38,OUT027,5359.6
FDH56,OUT046,2780.3
FDL48,OUT018,759.01
FDC48,OUT027,1331.6
FDN33,OUT045,661.8
FDA36,OUT017,2591.2
FDT44,OUT017,1797.6
FDQ56,OUT045,1929.4
NCC54,OUT019,1078.5
FDU11,OUT049,985.38
DRL59,OUT013,717.73
FDM24,OUT049,2871.5
FDI57,OUT045,2561.9
DRC12,OUT018,2749.7
NCM42,OUT027,5257.1
FDA46,OUT010,567.26
FDA31,OUT013,2942.8
NCJ31,OUT035,3374.2
FDG52,OUT046,1576.6
NCL19,OUT019,141.81
FDS10,OUT035,2736.4
FDX22,OUT010,210.39
NCF19,OUT035,1576.6
NCE06,OUT046,3425.5
DRC27,OUT046,5145.3
FDE21,OUT035,1382.2
NCR42,OUT019,173.1
FDX51,OUT018,1370.2
NCR06,OUT018,484.7
FDU31,OUT027,4976.8
FDU59,OUT017,501.34
FDR03,OUT027,3751.1
FDS49,OUT027,2526.7
FDD48,OUT010,115.18
NCF18,OUT017,3259.7
NCD43,OUT027,1743
NCD54,OUT018,3178.5
FDY19,OUT010,234.36
NCY54,OUT017,2069.3
NCL19,OUT018,2783
FDP23,OUT010,229.7
FDC26,OUT013,667.13
FDR14,OUT010,110.52
NCS41,OUT035,2006.7
FDF41,OUT035,6404.9
FDU34,OUT046,1897.5
DRH11,OUT046,2073.9
FDM03,OUT013,2465.4
FDS31,OUT017,6157.3
FDJ20,OUT017,2988.1
FDV44,OUT027,2057.9
FDG02,OUT049,1904.1
FDA09,OUT013,4889.6
FDT04,OUT013,388.16
FDL58,OUT019,1314.9
FDE52,OUT045,703.08
FDW12,OUT035,2902.8
FDL51,OUT017,5369
NCY42,OUT027,2127.2
FDR07,OUT017,1255
FDN40,OUT045,2153.1
FDB35,OUT027,5093.3
FDA22,OUT017,2840.9
NCL06,OUT046,5233.1
FDI35,OUT013,6157.3
NCW42,OUT045,5369
NCX06,OUT049,1617.8
FDC37,OUT027,1018
FDZ14,OUT018,985.38
DRG49,OUT049,7086.1
NCG06,OUT045,4637.9
DRC36,OUT045,2586.6
FDV21,OUT019,755.01
FDB53,OUT046,1938.8
DRP47,OUT019,761
FDA14,OUT013,2783
DRC24,OUT035,1402.1
FDW21,OUT018,1675.1
NCH29,OUT046,2642.5
FDU58,OUT013,3542
FDY27,OUT017,1784.3
FDV56,OUT035,1186.4
FDT59,OUT046,2067.3
FDB23,OUT046,3916.2
FDR49,OUT045,885.51
FDB03,OUT010,913.47
FDN39,OUT045,4604.6
FDX02,OUT027,4474.1
FDQ16,OUT027,2387.5
FDU35,OUT018,1897.5
NCT29,OUT013,1960.1
FDZ27,OUT046,1012
FDN57,OUT017,1701.7
FDA03,OUT018,5591.3
FDZ36,OUT045,1677.8
NCU05,OUT013,2746.4
FDT39,OUT018,2982.7
FDK60,OUT017,1069.2
FDZ25,OUT017,3735.1
FDG12,OUT046,4264.4
DRB01,OUT019,575.25
NCC43,OUT027,9158
FDX13,OUT019,259.66
FDM22,OUT049,1597.9
FDJ03,OUT027,826.25
FDU14,OUT018,4993.5
FDB33,OUT010,477.37
FDP27,OUT046,3861.6
FDO38,OUT010,126.5
FDE28,OUT027,7170.6
FDO27,OUT035,1342.2
DRL23,OUT027,1402.1
FDS28,OUT046,1374.2
FDX24,OUT013,2174.5
FDZ02,OUT035,1342.2
FDL46,OUT045,2356.9
FDS60,OUT027,1605.9
NCO06,OUT017,441.42
FDO16,OUT035,1165.1
FDC60,OUT049,2833.6
FDA48,OUT018,6410.3
FDZ36,OUT027,5329
FDK27,OUT045,2463.4
FDW23,OUT018,796.96
FDM14,OUT018,552.61
FDM14,OUT013,750.35
FDW60,OUT018,4604.6
FDE21,OUT013,1382.2
NCM42,OUT035,1965.4
FDY59,OUT010,197.07
DRI49,OUT049,1137.1
FDT28,OUT019,295.61
FDQ22,OUT018,1543.3
FDR60,OUT049,1312.9
FDC50,OUT019,93.212
FDV24,OUT013,2106.5
DRF48,OUT010,561.26
FDQ47,OUT046,1318.2
DRN36,OUT049,607.2
NCY06,OUT035,1789.6
FDE52,OUT035,703.08
NCB54,OUT045,1150.5
NCF31,OUT035,1821.6
FDJ08,OUT027,5294.4
NCC07,OUT017,525.98
NCD19,OUT027,3002.7
FDL46,OUT049,3199.8
FDM20,OUT045,6615.3
NCI06,OUT010,359.53
DRM11,OUT035,2863.6
NCH07,OUT018,3010.7
FDS23,OUT013,1927.4
FDO49,OUT018,826.25
FDS35,OUT049,1033.3
DRK39,OUT045,1414.8
DRI39,OUT049,2073.9
FDV04,OUT017,1257
NCN14,OUT035,2028.6
FDH08,OUT013,1659.1
FDS20,OUT046,1810.9
FDV40,OUT049,2512.7
FDZ48,OUT010,123.83
FDS24,OUT027,2067.3
FDK44,OUT049,347.54
FDS48,OUT045,1504.7
FDK26,OUT010,945.43
FDD23,OUT045,3630.6
NCH54,OUT017,1750.3
NCP14,OUT010,99.204
FDM60,OUT010,37.95
FDV24,OUT017,2106.5
FDH08,OUT018,6930.9
FDS12,OUT027,4916.9
FDR39,OUT027,4119.3
FDP12,OUT027,1024.6
